VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,09/01/2021 12:00:11 AM,09/01/2021 12:01:39 AM,N,1,74,74,1,0.02,3,0.5,0.5,0,0,,0.3,4.3,2,1,0
2,09/01/2021 12:00:26 AM,09/01/2021 12:09:38 AM,N,1,95,56,1,1.41,8,0.5,0.5,1,0,,0.3,10.3,1,1,0
2,09/01/2021 12:01:27 AM,09/01/2021 12:23:14 AM,N,1,93,256,1,11.07,31.5,0.5,0.5,6.56,0,,0.3,39.36,1,1,0
1,09/01/2021 12:01:31 AM,09/01/2021 12:15:14 AM,N,1,255,36,1,2.8,11.5,1,0.5,3.95,0,,0.3,17.25,1,1,0
2,09/01/2021 12:02:08 AM,09/01/2021 12:24:51 AM,N,5,93,144,4,10.64,65,0,0,0,0,,0.3,68.05,2,2,2.75
2,09/01/2021 12:04:33 AM,09/01/2021 12:47:41 AM,N,1,93,116,2,17.57,51.5,0.5,0.5,12.37,6.55,,0.3,74.22,1,1,2.5
2,09/01/2021 12:05:43 AM,09/01/2021 12:14:59 AM,N,1,95,121,1,2.14,9.5,0.5,0.5,0,0,,0.3,10.8,1,1,0
2,09/01/2021 12:05:56 AM,09/01/2021 12:13:17 AM,N,1,74,116,1,1.96,8,0.5,0.5,2.79,0,,0.3,12.09,1,1,0
2,09/01/2021 12:08:51 AM,09/01/2021 12:12:57 AM,N,1,42,42,1,0.63,5,0.5,0.5,0,0,,0.3,6.3,1,1,0
2,09/01/2021 12:10:00 AM,09/01/2021 12:32:00 AM,,,137,69,,8.15,32.54,2.75,0,0,0,,0.3,35.59,,,
2,09/01/2021 12:16:00 AM,09/01/2021 12:23:00 AM,,,20,32,,2.05,18.95,2.75,0,0,0,,0.3,22,,,
2,09/01/2021 12:17:00 AM,09/01/2021 12:31:00 AM,,,42,246,,6.68,23.13,0,0,0,0,,0.3,26.18,,,
2,09/01/2021 12:17:54 AM,09/01/2021 12:39:42 AM,N,1,93,163,1,9.53,28.5,0.5,0.5,6.51,0,,0.3,39.06,1,1,2.75
2,09/01/2021 12:20:00 AM,09/01/2021 12:30:00 AM,,,97,188,,2.27,13.2,0,0,3,0,,0.3,16.5,,,
2,09/01/2021 12:22:20 AM,09/01/2021 12:28:02 AM,N,1,42,42,1,0.73,5.5,0.5,0.5,2.04,0,,0.3,8.84,1,1,0
2,09/01/2021 12:23:18 AM,09/01/2021 12:41:21 AM,N,1,93,170,1,9.34,26.5,0.5,0.5,5,6.55,,0.3,42.1,1,1,2.75
2,09/01/2021 12:24:08 AM,09/01/2021 12:26:30 AM,N,1,42,42,1,0.39,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,0
2,09/01/2021 12:24:32 AM,09/01/2021 12:53:07 AM,N,5,93,239,2,13.82,50,0,0,11.92,6.55,,0.3,71.52,1,2,2.75
1,09/01/2021 12:26:12 AM,09/01/2021 12:50:48 AM,N,1,93,237,1,10,30,3.25,0.5,41,0,,0.3,75.05,1,1,2.75
2,09/01/2021 12:26:33 AM,09/01/2021 12:49:18 AM,N,5,93,256,5,9.24,60,0,0,0,0,,0.3,60.3,2,2,0
2,09/01/2021 12:28:29 AM,09/01/2021 12:38:04 AM,N,1,244,116,1,1.33,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
1,09/01/2021 12:29:18 AM,09/01/2021 12:30:16 AM,Y,5,93,93,1,0.2,0,0,0,0,0,,0,0,2,2,0
2,09/01/2021 12:29:18 AM,09/01/2021 12:44:42 AM,N,1,83,159,1,7.38,22.5,0.5,0.5,6.07,6.55,,0.3,36.42,1,1,0
2,09/01/2021 12:29:26 AM,09/01/2021 01:04:03 AM,N,1,255,35,1,6.57,26.5,0.5,0.5,0,0,,0.3,27.8,2,1,0
2,09/01/2021 12:29:49 AM,09/01/2021 12:43:09 AM,N,1,7,263,1,4.4,14.5,0.5,0.5,0,0,,0.3,18.55,2,1,2.75
2,09/01/2021 12:30:44 AM,09/01/2021 12:36:58 AM,N,1,74,41,1,1.22,6.5,0.5,0.5,1.95,0,,0.3,9.75,1,1,0
1,09/01/2021 12:32:56 AM,09/01/2021 12:33:32 AM,N,5,93,93,1,0.3,0,0,0,80,0,,0,80,1,2,0
2,09/01/2021 12:33:43 AM,09/01/2021 12:50:49 AM,N,1,244,242,1,6.65,21,0.5,0.5,2,0,,0.3,24.3,1,1,0
2,09/01/2021 12:37:36 AM,09/01/2021 12:43:56 AM,N,1,159,159,1,0.73,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,09/01/2021 12:39:00 AM,09/01/2021 12:54:06 AM,N,1,41,263,1,3.14,13,0.5,0.5,2.56,0,,0.3,19.61,1,1,2.75
2,09/01/2021 12:40:15 AM,09/01/2021 01:03:26 AM,N,5,57,261,1,11.48,40,0,0,8.61,0,,0.3,51.66,1,2,2.75
2,09/01/2021 12:43:01 AM,09/01/2021 12:47:28 AM,N,1,82,82,1,1.12,5.5,0.5,0.5,3,0,,0.3,9.8,1,1,0
2,09/01/2021 12:46:20 AM,09/01/2021 12:54:34 AM,N,1,244,243,1,1.58,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,09/01/2021 12:54:21 AM,09/01/2021 01:15:05 AM,N,1,93,33,1,12.04,34,0.5,0.5,10.59,0,,0.3,45.89,1,1,0
2,09/01/2021 12:54:42 AM,09/01/2021 01:25:26 AM,N,1,255,39,1,8.25,28,0.5,0.5,0,0,,0.3,29.3,2,1,0
2,09/01/2021 12:57:51 AM,09/01/2021 01:19:58 AM,N,1,93,141,1,10.79,31,0.5,0.5,5.5,0,,0.3,40.55,1,1,2.75
2,09/01/2021 01:03:23 AM,09/01/2021 01:21:45 AM,N,1,93,37,1,9.3,26.5,0.5,0.5,5.56,0,,0.3,33.36,1,1,0
2,09/01/2021 01:07:53 AM,09/01/2021 01:12:47 AM,N,5,116,116,1,0.56,8,0,0,0,0,,0.3,8.3,2,2,0
2,09/01/2021 01:08:48 AM,09/01/2021 01:17:26 AM,N,1,7,223,1,1.93,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,09/01/2021 01:09:36 AM,09/01/2021 01:31:16 AM,N,1,93,107,1,9.83,28.5,0.5,0.5,5,6.55,,0.3,44.1,1,1,2.75
2,09/01/2021 01:09:39 AM,09/01/2021 01:28:40 AM,N,1,244,162,1,9.12,27,0.5,0.5,9.32,0,,0.3,40.37,1,1,2.75
2,09/01/2021 01:14:04 AM,09/01/2021 01:36:54 AM,N,1,93,66,2,13.48,37.5,0.5,0.5,7.76,0,,0.3,46.56,1,1,0
1,09/01/2021 01:24:54 AM,09/01/2021 01:45:19 AM,N,1,93,140,2,11.6,33,3.25,0.5,0,6.55,,0.3,43.6,2,1,2.75
2,09/01/2021 01:29:00 AM,09/01/2021 01:51:00 AM,,,188,210,,5.21,36.45,2.75,0,0,0,,0.3,39.5,,,
2,09/01/2021 01:29:08 AM,09/01/2021 01:42:20 AM,N,5,244,32,1,5.88,21,0,0,0,0,,0.3,21.3,2,2,0
2,09/01/2021 01:31:19 AM,09/01/2021 01:55:40 AM,N,1,93,37,1,9.92,29,0.5,0.5,0,0,,0.3,30.3,2,1,0
2,09/01/2021 01:37:22 AM,09/01/2021 02:09:33 AM,N,1,93,33,1,15,43.5,0.5,0.5,10.82,6.55,,0.3,64.92,1,1,2.75
2,09/01/2021 01:37:48 AM,09/02/2021 12:19:04 AM,N,1,93,56,2,2.11,8,0.5,0.5,1.4,0,,0.3,10.7,1,1,0
2,09/01/2021 01:39:28 AM,09/01/2021 01:57:34 AM,N,1,129,7,1,2.24,12.5,0.5,0.5,4.14,0,,0.3,17.94,1,1,0
2,09/01/2021 01:55:38 AM,09/01/2021 02:00:22 AM,N,5,93,173,1,1,10,0,0,0.5,0,,0.3,10.8,1,2,0
2,09/01/2021 01:56:25 AM,09/01/2021 02:06:00 AM,N,1,93,130,1,4.14,13.5,0.5,0.5,2.96,0,,0.3,17.76,1,1,0
2,09/01/2021 01:59:45 AM,09/01/2021 02:11:35 AM,N,1,41,244,1,3.8,14,0.5,0.5,0,0,,0.3,15.3,1,1,0
2,09/01/2021 02:02:44 AM,09/01/2021 02:09:55 AM,N,5,60,78,1,1.46,12,0,0,0,0,,0.3,12.3,2,2,0
2,09/01/2021 02:05:54 AM,09/01/2021 02:15:43 AM,N,1,7,226,1,2.17,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1,0
2,09/01/2021 02:08:22 AM,09/01/2021 02:25:44 AM,N,1,260,95,1,4.69,16.5,0.5,0.5,0,0,,0.3,17.8,1,1,0
2,09/01/2021 02:15:06 AM,09/01/2021 02:28:07 AM,N,5,78,247,1,4.22,12,0,0,0,0,,0.3,12.3,2,2,0
2,09/01/2021 02:19:46 AM,09/01/2021 02:37:53 AM,N,1,226,151,1,5.89,19.5,0.5,0.5,0,0,,0.3,23.55,1,1,2.75
2,09/01/2021 02:24:16 AM,09/01/2021 02:33:30 AM,N,1,42,168,1,1.99,9,0.5,0.5,2.06,0,,0.3,12.36,1,1,0
2,09/01/2021 02:29:14 AM,09/01/2021 02:29:18 AM,N,5,132,132,1,0,70,0,0,10,0,,0.3,80.3,1,2,0
2,09/01/2021 02:34:47 AM,09/01/2021 02:56:11 AM,N,1,41,248,3,6.96,23,0.5,0.5,0,0,,0.3,24.3,2,1,0
2,09/01/2021 02:41:59 AM,09/01/2021 02:43:19 AM,N,5,95,95,1,0,20,0,0,20,0,,0.3,40.3,1,2,0
2,09/01/2021 02:48:00 AM,09/01/2021 03:08:00 AM,,,130,179,,10.41,35.92,2.75,0,0,0,,0.3,38.97,,,
2,09/01/2021 02:57:12 AM,09/02/2021 12:47:28 AM,N,1,82,181,1,11.68,34,0.5,0.5,3.53,0,,0.3,38.83,1,1,0
2,09/01/2021 02:58:00 AM,09/01/2021 03:27:00 AM,,,243,132,,20.7,61.95,0,0,5,6.55,,0.3,73.8,,,
2,09/01/2021 03:18:19 AM,09/01/2021 03:20:29 AM,N,1,41,41,1,0.47,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,09/01/2021 03:19:03 AM,09/01/2021 03:19:05 AM,N,5,264,264,1,0,12,0,0,0,0,,0.3,12.3,1,2,0
1,09/01/2021 03:22:49 AM,09/01/2021 03:32:55 AM,N,1,82,129,1,1.1,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,09/01/2021 03:41:22 AM,09/01/2021 04:11:33 AM,N,1,127,169,2,7.09,27,0.5,0.5,0,0,,0.3,28.3,1,1,0
2,09/01/2021 03:47:14 AM,09/01/2021 03:59:30 AM,N,1,226,223,1,4.07,14.5,0.5,0.5,0,0,,0.3,15.8,2,1,0
2,09/01/2021 03:51:54 AM,09/01/2021 03:52:15 AM,N,5,241,241,2,0,19.7,0,0,0,0,,0.3,20,2,2,0
2,09/01/2021 03:53:19 AM,09/01/2021 04:16:25 AM,N,5,129,14,1,14.9,60,0,0,0,0,,0.3,60.3,2,2,0
